PANGAEA ID,PANGAEA Name,PANGAEA Unit,SDN Unit URN,SDN Unit Name,SDN P01 ID,SDN P01 Name,SDN P01 URI,CF standard name,CF unit,EMODNET,EMODNET long name
90074,Nitrite,µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::NTRIZZXX,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX,,ug l-1,NTRI,Nitrite (NO2-N)
8558,Nitrite,mg/kg,SDN:P06::UMKG,Milligrams per kilogram,SDN:P01::MDMAP007,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit mass of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP007,,mg kg-1,NTRI,Nitrite (NO2-N)
80106,Nitrite,µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP007,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit mass of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP007,mole_concentration_of_nitrite_in_sea_water,umol kg-1,NTRI,Nitrite (NO2-N)
127016,Nitrite,mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::NTRIZZXX,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX,,mg l-1,NTRI,Nitrite (NO2-N)
2922,Nitrate and Nitrite,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::NTRZZZXX,"Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRZZZXX,moles_of_nitrate_and_nitrite_per_unit_mass_in_sea_water,umol l-1,NTRZ,Nitrate + Nitrite
126300,Nitrate and Nitrite,mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::NTRZZZXX,"Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRZZZXX,,mg l-1,NTRZ,Nitrate + Nitrite
162313,Nitrate and Nitrite,mg/m**3,SDN:P06::UMMC,Milligrams per cubic metre,SDN:P01::NTRZZZXX,"Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRZZZXX,,mg m-3,NTRZ,Nitrate + Nitrite
167225,"Nitrogen, organic, total",µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::MDMAZZKG,"Concentration of organic nitrogen {organic_N} {DON} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAZZKG,mole_concentration_of_dissolved_organic_nitrogen_in_sea_water,umol l-1,,
162477,"Nitrogen, organic, total",mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::MDMAZZKG,"Concentration of organic nitrogen {organic_N} {DON} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAZZKG,,mg l-1,,
4566,"Nitrous oxide, dissolved",nmol/l,SDN:P06::UPNM,Nanomoles per litre,SDN:P01::DN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DN2OZZ01,,nmol -1,,
122425,"Nitrous oxide, dissolved",µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::DN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DN2OZZ01,,ug l-1,,
161546,Nitrous oxide,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::DN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DN2OZZ01,,umol l-1,,
130838,Nitrous oxide,ppbv,SDN:P06::UBLV,Parts per billion by volume,SDN:P01::AN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit volume of the 
atmosphere [gaseous phase]",http://vocab.nerc.ac.uk/collection/P01/current/AN2OZZ01,,1.00E-09,,
758,Phosphate,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,mole_concentration_of_phosphate_in_sea_water,umol l-1,PHOS,Phosphate (PO4-P)
108236,Phosphate,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,mole_concentration_of_phosphate_in_sea_water,mmol l-1,PHOS,Phosphate (PO4-P)
75379,Phosphate,ug/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,,ug l-1,PHOS,Phosphate (PO4-P)
106233,Phosphate,mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::PHOSZZXX,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/PHOSZZXX,,mg l-1,PHOS,Phosphate (PO4-P)
102716,Phosphate,mg/kg,SDN:P06::UMKG,Milligrams per kilogram,SDN:P01::MDMAP906,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit mass of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP906,,mg kg-1,PHOS,Phosphate (PO4-P)
80107,Phosphate,umol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP906,"Concentration of phosphate {PO43- CAS 14265-44-2} per unit mass of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP906,mole_concentration_of_phosphate_in_sea_water,umol kg-1,PHOS,Phosphate (PO4-P)
755,Silicate,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::SLCAZZXX,"Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX,mole_concentration_of_silicate_in_sea_water,umol l-1,SLCA,Silicate (SIO4-SI)
132298,Silicate,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::SLCAZZXX,"Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/SLCAZZXX,mole_concentration_of_silicate_in_sea_water,mmol l-1,SLCA,Silicate (SIO4-SI)
52,Ammonium,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::AMONZZXX,"Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX,mole_concentration_of_ammonium_in_sea_water,umol l-1,AMON,Ammonium (NH4-N)
5120,Ammonium,nmol/m**3,SDN:P06::MMCM,Millimoles per cubic metre,SDN:P01::AMONZZXX,"Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX,mole_concentration_of_ammonium_in_sea_water,nmol m-3,AMON,Ammonium (NH4-N)
87101,Ammonium,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::AMONZZXX,"Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the 
water body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/AMONZZXX,mole_concentration_of_ammonium_in_sea_water,mmol l-1,AMON,Ammonium (NH4-N)
762,"Alkalinity, total",mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX,sea_water_alkalinity_expressed_as_mole_equivalent,mmol l-1,ALKY,Total alkalinity
143493,"Alkalinity, total",µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX,sea_water_alkalinity_expressed_as_mole_equivalent,umol l-1,ALKY,Total alkalinity
80114,"Alkalinity, total",µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP014,Total alkalinity per unit mass of the water body,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP014,sea_water_alkalinity_per_unit_mass,umol kg-1,ALKW,Total alkalinity
87074,"Alkalinity, total",mmol/kg,SDN:P06::MMKG,Millimoles per kilogram,SDN:P01::MDMAP014,Total alkalinity per unit mass of the water body,http://vocab.nerc.ac.uk/collection/P01/current/MDMAP014,sea_water_alkalinity_per_unit_mass,mmol kg-1,ALKW,Total alkalinity
764,pH,,SDN:P06::UUPH,pH units,SDN:P01::PHXXZZXX,pH (unspecified scale) of the water body,http://vocab.nerc.ac.uk/collection/P01/current/PHXXZZXX,sea_water_ph_reported_on_total_scale,1,PHPH,Ph
29222,"Irradiance, downward",W/m**2,SDN:P06::UFAA,Watts per square metre,SDN:P01::LWRDZZ01,"Downwelling vector irradiance as energy of electromagnetic radiation 
(longwave) in the atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/LWRDZZ01,downwelling_spherical_irradiance_in_sea_water,W m-2,,
24209,"Irradiance, downward PAR",umol/m**2/s,SDN:P06::UM2S,Micromoles per square metre per second,SDN:P01::LWRDZZ01,"Downwelling vector irradiance as energy of electromagnetic radiation 
(longwave) in the atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/LWRDZZ01,downwelling_spherical_irradiance_in_sea_water,umol m-2 s-1,,
29223,"Irradiance, upward",W/m**2,SDN:P06::UFAA,Watts per square metre,SDN:P01::LWRDXX01,"Upwelling vector irradiance as energy of electromagnetic radiation 
(longwave) in the atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/LWRDXX01,,W m-2,,
24210,"Irradiance, upward PAR",umol/m**2/s,SDN:P06::UM2S,Micromoles per square metre per second,SDN:P01::LWRDXX01,"Upwelling vector irradiance as energy of electromagnetic radiation 
(longwave) in the atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/LWRDXX01,,umol m-2 s-1,,
770,"delta 13C, dissolved inorganic carbon",‰ PDB,SDN:P06::UPPT,Parts per thousand,SDN:P01::D13CMIXX,"Enrichment of carbon-13 in inorganic carbon {13C in inorganic_C CAS 
14762-74-4} {delta(13)C} in the water body [dissolved plus reactive 
particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/D13CMIXX,,1.00E-03,,
765,"Carbon, inorganic, dissolved",µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::CINGZZZZ,"Concentration of inorganic carbon {inorganic_C CAS 7440-44-0} per unit 
volume of the water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CINGZZZZ,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,umol l-1,,
106858,"Carbon, inorganic, dissolved",mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::CINGZZZZ,"Concentration of inorganic carbon {inorganic_C CAS 7440-44-0} per unit 
volume of the water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CINGZZZZ,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mmol l-1,,
87073,"Carbon, inorganic, dissolved",µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::TCO2MSXX,"Concentration of total inorganic carbon {TCO2 CAS 7440-44-0} per unit mass 
of the water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/TCO2MSXX,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,umol kg-1,,
88102,"Carbon, inorganic, dissolved",mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::CINGZZZZ,"Concentration of inorganic carbon {inorganic_C CAS 7440-44-0} per unit 
volume of the water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CINGZZZZ,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mg l-1,,
15690,"Carbon, inorganic, total",µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::CINGZZZZ,"Concentration of inorganic carbon {inorganic_C CAS 7440-44-0} per unit 
volume of the water body [particulate >unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/CINGZZZZ,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,umol l-1,,
80128,"Carbon, organic, dissolved",µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::COCOKGXX,"Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit 
mass of the water body [dissolved plus reactive particulate <unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/COCOKGXX,mole_concentration_of_dissolved_organic_carbon_in_sea_water,umol kg-1,,
91607,"Carbon, organic, dissolved",mg/kg,SDN:P06::UMKG,Milligrams per kilogram,SDN:P01::COCOKGXX,"Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit 
mass of the water body [dissolved plus reactive particulate <unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/COCOKGXX,mole_concentration_of_dissolved_organic_carbon_in_sea_water,mg kg-1,,
18906,Wind speed,m/s,SDN:P06::UVAA,Metres per second,SDN:P01::EWSBZZ01,Speed of wind {wind speed} in the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/EWSBZZ01,wind_speed,m s-1,WSPD,Horizontal wind speed
4620,"Wind speed, relative",m/s,SDN:P06::UVAA,Metres per second,SDN:P01::ERWSZZ01,"Speed of wind relative to moving platform and heading {wind speed} in the 
atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/ERWSZZ01,wind_speed,m s-1,,
2221,Wind direction,deg,SDN:P06::UAAA,Degrees,SDN:P01::EWDAZZ01,"Direction (from) of wind relative to True North {wind direction} in the 
atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/EWDAZZ01,wind_from_direction,degree,WDIR,Wind from direction relative true north
18962,"Wind speed, gust",m/s,SDN:P06::UVAA,Metres per second,SDN:P01::EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/EGTSZZ01,wind_speed_of_gust,m s-1,GSPD,Gust wind speed
123717,"Wind velocity, west-east",m/s,SDN:P06::UVAA,Metres per second,SDN:P01::ESEWZZXX,Eastward velocity of wind in the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/ESEWZZXX,eastward_wind,m s-1,WSPE,West-east wind component
123718,"Wind velocity, south-north",m/s,SDN:P06::UVAA,Metres per second,SDN:P01::ESNSZZXX,Northward velocity of wind in the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/ESNSZZXX,northward_wind,m s-1,WSPN,South-north wind component
2222,Wind speed,Bft,SDN:P06:UUUU,Dimensionless,SDN:P01::WMOCWFBF,"Speed of wind {wind speed} in the atmosphere by visual estimation and 
conversion to Beaufort scale",http://vocab.nerc.ac.uk/collection/P01/current/WMOCWFBF,beaufort_wind_force,1,WBFO,Beaufort wind force
4610,"Temperature, air",°C,SDN:P06::UPAA,Degrees Celsius,SDN:P01::CTMPZZ01,Temperature of the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CTMPZZ01,air_temperature,degC,DRYT,Air temperature in dry bulb
4608,"Temperature, air, dry bulb",°C,SDN:P06::UPAA,Degrees Celsius,SDN:P01::CTMPZZ01,Temperature of the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CTMPZZ01,air_temperature,degC,DRYT,Air temperature in dry bulb
4609,"Temperature, air, wet bulb",°C,SDN:P06::UPAA,Degrees Celsius,SDN:P01::CWETZZ01,Wet bulb temperature of the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CWETZZ01,wet_bulb_temperature,degC,WETT,Air temperature in wet bulb
4611,Dew/frost point,°C,SDN:P06::UPAA,Degrees Celsius,SDN:P01::CDEWZZ01,Dew point temperature of the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CDEWZZ01,dew_point_temperature,degC,DEWT,Dew point temperature
2219,"Humidity, relative",%,SDN:P06::UPCT,Percent,SDN:P01::CRELZZ01,Relative humidity of the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CRELZZ01,relative_humidity,%,RELH,Relative humidity
2224,"Pressure, atmospheric",hPa,SDN:P06::HPAX,Hectopascals,SDN:P01::CAPHZZ01,Pressure (measured variable) exerted by the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CAPHZZ01,air_pressure,hPa,ATMS,Atmospheric pressure at sea level
152835,"Pressure, atmospheric",arbitrary units,SDN:P06::USPC,Not specified,SDN:P01::CAPHZZ01,Pressure (measured variable) exerted by the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CAPHZZ01,air_pressure,1,ATMS,Atmospheric pressure at sea level
1666609,"Pressure, air",dbar,SDN:P06:UPDB,Decibars,SDN:P01::CAPHZZ01,Pressure (measured variable) exerted by the atmosphere,http://vocab.nerc.ac.uk/collection/P01/current/CAPHZZ01,air_pressure,dbar,ATMS,Atmospheric pressure at sea level
45312,Amount of barometric tendency,hPa,SDN:P06::HPAX,Hectopascals,SDN:P01::APRESSTN,"Pressure tendency (rate of measured variable increase) exerted by the 
atmosphere",http://vocab.nerc.ac.uk/collection/P01/current/APRESSTN,tendency_of_air_pressure,hPa,ATPT,Atmospheric pressure hourly tendency
104252,River discharge,m**3/s,SDN:P06::CMPS,Cubic metres per second,SDN:P01::RFDSCH01,Riverine discharge of water,http://vocab.nerc.ac.uk/collection/P01/current/RFDSCH01,water_volume_transport_into_sea_water_from_rivers,m3 s-1,RVFL,River flow rate
45288,Precipitation,mm/10 min,,,SDN:P01::CPRRRG01,"Precipitation rate (liquid water equivalent) in the atmosphere by in-situ 
rain gauge",http://vocab.nerc.ac.uk/collection/P01/current/CPRRRG01,lwe_precipitation_rate,mm 10*min-1,,
104253,Precipitation,mm/h,SDN:P06::MMPH,Millimetres per hour,SDN:P01::CPRRRG01,"Precipitation rate (liquid water equivalent) in the atmosphere by in-situ 
rain gauge",http://vocab.nerc.ac.uk/collection/P01/current/CPRRRG01,lwe_precipitation_rate,mm h-1,PRRT,Hourly precipitation rate (liquid water equivalent)
137028,Precipitation,mm,SDN:P06::UXMM,Millimetres,SDN:P01::CPRRRG01,"Precipitation rate (liquid water equivalent) in the atmosphere by in-situ 
rain gauge",http://vocab.nerc.ac.uk/collection/P01/current/CPRRRG01,lwe_precipitation_rate,mm,,
160741,Precipitation,mm/month,,,SDN:P01::CPRRRG01,"Precipitation rate (liquid water equivalent) in the atmosphere by in-situ 
rain gauge",http://vocab.nerc.ac.uk/collection/P01/current/CPRRRG01,lwe_precipitation_rate,mm month-1,,
150451,Precipitation,mm/5 min,,,SDN:P01::CPRRRG01,"Precipitation rate (liquid water equivalent) in the atmosphere by in-situ 
rain gauge",http://vocab.nerc.ac.uk/collection/P01/current/CPRRRG01,lwe_precipitation_rate,mm 5*min-1,,
157029,Precipitation,mm/day,SDN:P06::MMPD,Millimetres per day,SDN:P01::CPRRRG01,"Precipitation rate (liquid water equivalent) in the atmosphere by in-situ 
rain gauge",http://vocab.nerc.ac.uk/collection/P01/current/CPRRRG01,lwe_precipitation_rate,mm d-1,PRRD,Daily precipitation rate (liquid water equivalent)
80109,Freon-12 (dichlorodifluoromethane),pmol/kg,SDN:P06::KGPM,Picomoles per kilogram,SDN:P01::MDMAP002,"Concentration of dichlorodifluoromethane {CFC-12 CAS 75-71-8} per unit mass 
of the water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP002,,pmol kg-1,,
2185,Freon-12 (dichlorodifluoromethane),pmol/l,SDN:P06::UPML,	Picomoles per litre,SDN:P01::MDMAP002,"Concentration of dichlorodifluoromethane {CFC-12 CAS 75-71-8} per unit mass 
of the water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP002,,pmol l-1,,
106033,"Sulfur hexafluoride, SF6",fmol/kg,SDN:P06::FMKG,Femtomoles per kilogram,SDN:P01::DSF6KGXX,"Concentration of sulphur hexafluoride {SF6 sulfur hexafluoride CAS 
2551-62-4} per unit mass of the water body [dissolved plus reactive 
particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DSF6KGXX,,fmol kg-1,,
23792,"Sulfur hexafluoride, SF6",fmol/l,SDN:P06::UPFM,Femtomoles per litre,SDN:P01::DSF6KGXX,"Concentration of sulphur hexafluoride {SF6 sulfur hexafluoride CAS 
2551-62-4} per unit mass of the water body [dissolved plus reactive 
particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DSF6KGXX,,fmol l-1,,
103326,Helium-3,fmol/kg,SDN:P06::FMKG,Femtomoles per kilogram,SDN:P01::DHE3XX01,"Enrichment of helium-3 {3He CAS 14762-55-1} in the water body [dissolved 
plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DHE3XX01,,fmol kg-1,,
795,Δδ13C,‰ PDB,SDN:P06::UPPT,	Parts per thousand,SDN:P01::D14CMIXX,"Enrichment of carbon-14 {14C CAS 14762-75-5} in the water body [dissolved 
plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/D14CMIXX,,1.00E-03,,